episode_step	action	reward	q_value	done	state_time_norm	state_queue_norm	state_wait_norm	state_density_norm	state_speed_norm	state_flow_norm	next_state_time_norm	next_state_queue_norm	next_state_wait_norm	next_state_density_norm	next_state_speed_norm	next_state_flow_norm
41	0	7.441111	0.743368	False	1.000000	1.000000	0.014100	0.198800	1.000000	0.016700	1.000000	1.000000	0.014000	0.196200	1.000000	0.016700
42	0	7.387639	0.738026	False	1.000000	1.000000	0.014000	0.196200	1.000000	0.016700	1.000000	1.000000	0.014000	0.197300	1.000000	0.016700
43	0	7.579979	0.757241	False	1.000000	1.000000	0.014000	0.197300	1.000000	0.016700	1.000000	1.000000	0.014100	0.196000	1.000000	0.016700
44	0	7.754563	0.774682	False	1.000000	1.000000	0.014100	0.196000	1.000000	0.016700	1.000000	1.000000	0.014200	0.191100	1.000000	0.016700
45	3	7.857887	0.785004	False	1.000000	1.000000	0.014200	0.191100	1.000000	0.016700	1.000000	1.000000	0.014300	0.195800	1.000000	0.033300
46	0	7.666667	0.765901	False	1.000000	1.000000	0.014300	0.195800	1.000000	0.033300	1.000000	1.000000	0.014300	0.189300	1.000000	0.016700
47	4	8.019828	0.801182	False	1.000000	1.000000	0.014300	0.189300	1.000000	0.016700	1.000000	1.000000	0.014600	0.187700	1.000000	0.033300
48	0	7.673783	0.766612	False	1.000000	1.000000	0.014600	0.187700	1.000000	0.033300	1.000000	1.000000	0.014700	0.189600	1.000000	0.016700
49	0	7.566194	0.755864	False	1.000000	1.000000	0.014700	0.189600	1.000000	0.016700	1.000000	1.000000	0.014700	0.190400	1.000000	0.016700
50	0	7.502333	0.749484	False	1.000000	1.000000	0.014700	0.190400	1.000000	0.016700	1.000000	1.000000	0.014800	0.186700	1.000000	0.016700
51	0	7.534950	0.752742	False	1.000000	1.000000	0.014800	0.186700	1.000000	0.016700	1.000000	1.000000	0.014900	0.187900	1.000000	0.016700
52	0	7.474492	0.746703	False	1.000000	1.000000	0.014900	0.187900	1.000000	0.016700	1.000000	1.000000	0.015100	0.187000	1.000000	0.016700
53	0	7.178018	0.717085	False	1.000000	1.000000	0.015100	0.187000	1.000000	0.016700	1.000000	1.000000	0.015000	0.186000	1.000000	0.016700
54	0	7.054142	0.704709	False	1.000000	1.000000	0.015000	0.186000	1.000000	0.016700	1.000000	1.000000	0.015200	0.180300	1.000000	0.016700
55	0	6.929780	0.692286	False	1.000000	1.000000	0.015200	0.180300	1.000000	0.016700	1.000000	1.000000	0.015200	0.181600	1.000000	0.016700
56	0	6.809103	0.680230	False	1.000000	1.000000	0.015200	0.181600	1.000000	0.016700	1.000000	1.000000	0.015300	0.176200	1.000000	0.016700
57	0	6.395072	0.638868	False	1.000000	1.000000	0.015300	0.176200	1.000000	0.016700	1.000000	1.000000	0.015400	0.178100	1.000000	0.016700
58	0	6.263397	0.625714	False	1.000000	1.000000	0.015400	0.178100	1.000000	0.016700	1.000000	1.000000	0.015500	0.176800	1.000000	0.016700
59	0	6.088746	0.608266	False	1.000000	1.000000	0.015500	0.176800	1.000000	0.016700	1.000000	1.000000	0.015600	0.171500	1.000000	0.016700
60	0	5.881923	0.587605	False	1.000000	1.000000	0.015600	0.171500	1.000000	0.016700	1.000000	1.000000	0.015800	0.163800	1.000000	0.016700
61	0	5.560615	0.555506	False	1.000000	1.000000	0.015800	0.163800	1.000000	0.016700	1.000000	1.000000	0.015900	0.161200	1.000000	0.016700
62	0	5.293656	0.528837	False	1.000000	1.000000	0.015900	0.161200	1.000000	0.016700	1.000000	1.000000	0.016000	0.159300	1.000000	0.016700
63	0	5.048071	0.504303	False	1.000000	1.000000	0.016000	0.159300	1.000000	0.016700	1.000000	1.000000	0.016100	0.160100	1.000000	0.016700
64	0	4.886079	0.488120	False	1.000000	1.000000	0.016100	0.160100	1.000000	0.016700	1.000000	1.000000	0.016200	0.156200	1.000000	0.016700
65	0	4.755106	0.475036	False	1.000000	1.000000	0.016200	0.156200	1.000000	0.016700	1.000000	1.000000	0.016300	0.154200	1.000000	0.016700
66	0	4.550588	0.454604	False	1.000000	1.000000	0.016300	0.154200	1.000000	0.016700	1.000000	1.000000	0.016400	0.153200	1.000000	0.016700
67	0	4.408719	0.440431	False	1.000000	1.000000	0.016400	0.153200	1.000000	0.016700	1.000000	1.000000	0.016300	0.155400	1.000000	0.016700
68	0	4.313942	0.430963	False	1.000000	1.000000	0.016300	0.155400	1.000000	0.016700	1.000000	1.000000	0.016600	0.153900	1.000000	0.016700
69	0	4.137170	0.413304	False	1.000000	1.000000	0.016600	0.153900	1.000000	0.016700	1.000000	1.000000	0.016600	0.154300	1.000000	0.016700
70	0	3.833888	0.383006	False	1.000000	1.000000	0.016600	0.154300	1.000000	0.016700	1.000000	1.000000	0.016700	0.151800	1.000000	0.016700
71	0	3.901987	0.389809	False	1.000000	1.000000	0.016700	0.151800	1.000000	0.016700	1.000000	1.000000	0.016900	0.150000	1.000000	0.016700
72	0	3.768336	0.376457	False	1.000000	1.000000	0.016900	0.150000	1.000000	0.016700	1.000000	1.000000	0.017000	0.146700	1.000000	0.016700
